STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/1/2023,,,,,0.28,0,0,,49,41,43
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/2/2023,,,,,0,0,0,,51,34,35
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/3/2023,,,,,0.03,0,0,,53,35,46
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/4/2023,,,,,0.35,0,0,,52,44,47
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/5/2023,,,,,0.03,0,0,,65,42,49
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/6/2023,,,,,0.29,0,0,,52,42,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/7/2023,,,,,0,0,0,,47,31,37
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/8/2023,,,,,0,0,0,,43,29,30
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/9/2023,,,,,0,0,0,,40,29,32
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/10/2023,,,,,0,0,0,,42,31,37
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/11/2023,,,,,0,0,0,,39,33,33
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/12/2023,,,,,0,0,0,,38,32,35
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/13/2023,,,,,0.32,0,0,,55,35,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/14/2023,,,,,0.12,0,0,,54,32,32
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/15/2023,,,,,0,0,0,,33,27,28
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/16/2023,,,,,0,0,0,,43,25,26
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/17/2023,,,,,0,0,0,,46,25,31
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/18/2023,,,,,0,0,0,,46,31,46
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/19/2023,,,,,0,0,0,,51,36,39
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/20/2023,,,,,1.12,0,0,,40,36,40
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/21/2023,,,,,0,0,0,,46,35,36
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/22/2023,,,,,0,0,0,,38,33,34
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/23/2023,,,,,0.69,,,,40,34,38
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/24/2023,,,,,0.22,,,,38,34,35
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/25/2023,,,,,0,0,0,,44,28,30
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/26/2023,,,,,1.94,,,,50,30,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/27/2023,,,,,0,0,0,,42,27,28
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/28/2023,,,,,0,0,0,,39,26,31
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/29/2023,,,,,0,0,0,,49,31,31
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/30/2023,,,,,0,0,0,,48,31,34
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,1/31/2023,,,,,0,0,0,,53,32,34
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/1/2023,,,,,0.01,0,0,,37,24,26
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/2/2023,,,,,0,0,0,,36,20,20
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/3/2023,,,,,0,0,0,,37,19,24
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/4/2023,,,,,0,0,0,,24,0,2
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/5/2023,,,,,0,0,0,,22,2,22
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/6/2023,,,,,0,0,0,,46,22,31
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/7/2023,,,,,0,0,0,,50,25,25
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/8/2023,,,,,0.02,0,0,,40,24,33
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/9/2023,,,,,0,0,0,,51,27,30
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/10/2023,,,,,0,0,0,,50,30,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/11/2023,,,,,0,0,0,,54,34,34
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/12/2023,,,,,0,0,0,,43,23,24
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/13/2023,,,,,0,0,0,,45,24,40
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/14/2023,,,,,0,0,0,,55,39,39
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/15/2023,,,,,0,0,0,,52,35,37
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/16/2023,,,,,0,0,0,,63,36,43
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/17/2023,,,,,0.05,0,0,,67,43,53
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/18/2023,,,,,0,0,0,,58,24,25
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/19/2023,,,,,0,0,0,,41,25,30
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/20/2023,,,,,0,0,0,,52,30,37
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/21/2023,,,,,0.19,0,0,,58,36,37
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/22/2023,,,,,0.08,0,0,,44,28,30
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/23/2023,,,,,0.22,0,0,,40,29,36
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/24/2023,,,,,0,0,0,,44,36,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/25/2023,,,,,0,0,0,,44,21,21
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/26/2023,,,,,0,0,0,,30,17,18
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/27/2023,,,,,0,0,0,,48,18,31
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,2/28/2023,,,,,0.62,5,5,,44,30,30
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/1/2023,,,,,0.05,0,3,,37,24,24
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/2/2023,,,,,0.02,0,1,,45,24,37
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/3/2023,,,,,0.02,0,0,,53,28,29
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/4/2023,,,,,1.26,0,0,,44,28,38
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/5/2023,,,,,0.01,0,0,,44,35,35
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/6/2023,,,,,0,0,0,,53,34,38
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/7/2023,,,,,0.13,2,2,,50,31,32
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/8/2023,,,,,0,0,0,,44,29,29
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/9/2023,,,,,0,0,0,,43,29,31
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/10/2023,,,,,0,0,0,,49,31,32
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/11/2023,,,,,0.65,,,,43,31,33
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/12/2023,,,,,0.1,0,0,,43,30,30
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/13/2023,,,,,0.04,0,0,,45,29,36
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/14/2023,,,,,0.53,0,0,,41,34,34
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/15/2023,,,,,0.12,1.5,1,,34,30,31
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/16/2023,,,,,0,0,0,,42,31,32
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/17/2023,,,,,0,0,0,,56,32,37
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/18/2023,,,,,0,0,0,,59,37,40
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/19/2023,,,,,0,0,0,,51,28,29
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/20/2023,,,,,0,0,0,,39,23,23
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/21/2023,,,,,0,0,0,,50,22,31
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/22/2023,,,,,0,0,0,,59,29,35
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/23/2023,,,,,0,0,0,,62,34,46
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/24/2023,,,,,0.12,0,0,,57,42,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/25/2023,,,,,0,0,0,,53,38,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/26/2023,,,,,0.31,0,0,,45,39,45
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/27/2023,,,,,0,0,0,,60,33,33
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/28/2023,,,,,0.16,0,0,,60,33,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/29/2023,,,,,0,0,0,,50,34,35
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/30/2023,,,,,0.03,0,0,,54,28,28
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,3/31/2023,,,,,0,0,0,,44,25,26
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/1/2023,,,,,0.15,0,0,,53,25,47
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/2/2023,,,,,0.47,0,0,,68,39,40
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/3/2023,,,,,0,0,0,,48,28,28
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/4/2023,,,,,0,0,0,,61,28,41
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/5/2023,,,,,0,0,0,,73,41,51
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/6/2023,,,,,0.01,0,0,,53,45,47
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/7/2023,,,,,0,0,0,,77,47,51
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/8/2023,,,,,0,0,0,,55,33,33
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/9/2023,,,,,0,0,0,,53,30,30
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/10/2023,,,,,0,0,0,,55,30,31
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/11/2023,,,,,0,0,0,,56,31,38
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/12/2023,,,,,0,0,0,,73,38,63
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/13/2023,,,,,0,0,0,,81,55,56
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/14/2023,,,,,0,0,0,,85,56,58
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/15/2023,,,,,0,0,0,,88,57,60
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/16/2023,,,,,0.3,0,0,,76,57,59
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/17/2023,,,,,0.11,0,0,,71,54,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/18/2023,,,,,0.01,0,0,,65,48,49
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/19/2023,,,,,0,0,0,,53,44,44
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/20/2023,,,,,0,0,0,,62,40,41
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/21/2023,,,,,0,0,0,,68,41,43
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/22/2023,,,,,0,0,0,,72,43,50
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/23/2023,,,,,1.71,0,0,,70,50,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/24/2023,,,,,0.17,0,0,,67,42,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/25/2023,,,,,0,0,0,,60,39,39
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/26/2023,,,,,0,0,0,,58,35,37
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/27/2023,,,,,0.07,0,0,,59,37,45
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/28/2023,,,,,0,0,0,,58,44,47
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/29/2023,,,,,1.52,0,0,,53,45,47
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,4/30/2023,,,,,0.56,0,0,,52,47,49
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/1/2023,,,,,2.07,0,0,,58,48,48
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/2/2023,,,,,0.01,0,0,,59,43,44
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/3/2023,,,,,0.02,0,0,,55,44,45
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/4/2023,,,,,0.08,0,0,,55,43,46
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/5/2023,,,,,0.05,0,0,,57,41,42
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/6/2023,,,,,0.01,0,0,,63,42,44
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/7/2023,,,,,0,0,0,,72,44,53
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/8/2023,,,,,0.02,0,0,,75,52,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/9/2023,,,,,0,0,0,,75,50,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/10/2023,,,,,0,0,0,,69,40,41
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/11/2023,,,,,0,0,0,,72,41,53
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/12/2023,,,,,0,0,0,,72,52,57
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,5/13/2023,,,,,0,0,0,,84,52,62
